userName,content,score,at,cleaning,case_folding,normalisasi,tokenize,stopword removal,stemming_data
Irwan Drmwn,bagus banget foto serba ada,5,2025-04-30 23:01:57,bagus banget foto serba ada,bagus banget foto serba ada,bagus banget foto serba ada,"['bagus', 'banget', 'foto', 'serba', 'ada']","['bagus', 'banget', 'foto', 'serba']",bagus banget foto serba
Dedy Kennedy,good everytime,4,2025-04-30 22:32:38,good everytime,good everytime,good everytime,"['good', 'everytime']","['good', 'everytime']",good everytime
Rohmatun Danuri,foto photo,5,2025-04-30 16:15:53,foto photo,foto photo,foto photo,"['foto', 'photo']","['foto', 'photo']",foto photo
Asnita (Ita),luar biasa bagus,5,2025-04-30 15:57:09,luar biasa bagus,luar biasa bagus,luar biasa bagus,"['luar', 'biasa', 'bagus']",['bagus'],bagus
Ica 2345,bagus banget tapi gini di HP ku kenapa setiap aku mau ambil video selalu gak bisa tolong di perbaiki ya terima kasih tapi saya akan kasih bintang 5 buat pin karena aku bener bener bagus dan juga banyak banget buat cari cari video bagus gitu mulai diy dan masak dan sebagai nya ok segitu dulu terimakasih 😁,5,2025-04-30 15:55:08,bagus banget tapi gini di HP ku kenapa setiap aku mau ambil video selalu gak bisa tolong di perbaiki ya terima kasih tapi saya akan kasih bintang  buat pin karena aku bener bener bagus dan juga banyak banget buat cari cari video bagus gitu mulai diy dan masak dan sebagai nya ok segitu dulu terimakasih ,bagus banget tapi gini di hp ku kenapa setiap aku mau ambil video selalu gak bisa tolong di perbaiki ya terima kasih tapi saya akan kasih bintang  buat pin karena aku bener bener bagus dan juga banyak banget buat cari cari video bagus gitu mulai diy dan masak dan sebagai nya ok segitu dulu terimakasih ,bagus banget tapi begini di hp ku kenapa setiap aku mau ambil video selalu tidak bisa tolong di perbaiki ya terima kasih tapi saya akan kasih bintang buat pin karena aku benar benar bagus dan juga banyak banget buat cari cari video bagus begitu mulai diy dan masak dan sebagai ya ok segitu dulu terimakasih,"['bagus', 'banget', 'tapi', 'begini', 'di', 'hp', 'ku', 'kenapa', 'setiap', 'aku', 'mau', 'ambil', 'video', 'selalu', 'tidak', 'bisa', 'tolong', 'di', 'perbaiki', 'ya', 'terima', 'kasih', 'tapi', 'saya', 'akan', 'kasih', 'bintang', 'buat', 'pin', 'karena', 'aku', 'benar', 'benar', 'bagus', 'dan', 'juga', 'banyak', 'banget', 'buat', 'cari', 'cari', 'video', 'bagus', 'begitu', 'mulai', 'diy', 'dan', 'masak', 'dan', 'sebagai', 'ya', 'ok', 'segitu', 'dulu', 'terimakasih']","['bagus', 'banget', 'hp', 'ku', 'ambil', 'video', 'tolong', 'perbaiki', 'ya', 'terima', 'kasih', 'kasih', 'bintang', 'pin', 'bagus', 'banget', 'cari', 'cari', 'video', 'bagus', 'diy', 'masak', 'ya', 'ok', 'segitu', 'terimakasih']",bagus banget hp ku ambil video tolong baik ya terima kasih kasih bintang pin bagus banget cari cari video bagus diy masak ya ok segitu terimakasih
Rivano,Karena dapat membantu pada saat saya sedang membutuhkannya,4,2025-04-30 15:53:43,Karena dapat membantu pada saat saya sedang membutuhkannya,karena dapat membantu pada saat saya sedang membutuhkannya,karena dapat membantu pada saat saya sedang membutuhkannya,"['karena', 'dapat', 'membantu', 'pada', 'saat', 'saya', 'sedang', 'membutuhkannya']","['membantu', 'membutuhkannya']",bantu butuh
hesaputra Hesaputra,sources of my inspiration in my business activities,5,2025-04-30 15:38:28,sources of my inspiration in my business activities,sources of my inspiration in my business activities,sources of my inspiration ini my business activities,"['sources', 'of', 'my', 'inspiration', 'ini', 'my', 'business', 'activities']","['sources', 'of', 'my', 'inspiration', 'my', 'business', 'activities']",sources of my inspiration my business activities
Rosid Intan,"sebenarnya klo boleh jujur aplikasi udh pas tapi masalah nya kenpa pas saya masukin tanggal lahir gk bisa, tolong developer nya kasih otak dong ini gimana tolong di perbaiki lagi ✌️🥺✌️",1,2025-04-30 14:55:04,sebenarnya klo boleh jujur aplikasi udh pas tapi masalah nya kenpa pas saya masukin tanggal lahir gk bisa tolong developer nya kasih otak dong ini gimana tolong di perbaiki lagi ,sebenarnya klo boleh jujur aplikasi udh pas tapi masalah nya kenpa pas saya masukin tanggal lahir gk bisa tolong developer nya kasih otak dong ini gimana tolong di perbaiki lagi ,sebenarnya kalau boleh jujur aplikasi sudah pas tapi masalah ya kenpa pas saya memasuki tanggal lahir tidak bisa tolong developer ya kasih otak dong ini bagaimana tolong di perbaiki lagi,"['sebenarnya', 'kalau', 'boleh', 'jujur', 'aplikasi', 'sudah', 'pas', 'tapi', 'masalah', 'ya', 'kenpa', 'pas', 'saya', 'memasuki', 'tanggal', 'lahir', 'tidak', 'bisa', 'tolong', 'developer', 'ya', 'kasih', 'otak', 'dong', 'ini', 'bagaimana', 'tolong', 'di', 'perbaiki', 'lagi']","['jujur', 'aplikasi', 'pas', 'ya', 'kenpa', 'pas', 'memasuki', 'tanggal', 'lahir', 'tolong', 'developer', 'ya', 'kasih', 'otak', 'tolong', 'perbaiki']",jujur aplikasi pas ya kenpa pas pasuk tanggal lahir tolong developer ya kasih otak tolong baik
Slash,"kok goblog bgt sih sistem kalian gak bisa memfilter orang yg meng-upload media berbau sexual bahkan hal yg menjijikkan lainnya. banyak perempuan-perempuan yang menjadi korban porn revenge, deepfake dan pelecehan lainnya fotonya dan video mereka di upload oleh orang yang tidak bertanggung jawab di pin. dan sampai saat ini masih banyak beredar konten vulgar seperti itu yg menganggu pengguna pin. tolong lah jink, thanks.",1,2025-04-30 13:48:44,kok goblog bgt sih sistem kalian gak bisa memfilter orang yg mengupload media berbau sexual bahkan hal yg menjijikkan lainnya banyak perempuanperempuan yang menjadi korban porn revenge deepfake dan pelecehan lainnya fotonya dan video mereka di upload oleh orang yang tidak bertanggung jawab di pin dan sampai saat ini masih banyak beredar konten vulgar seperti itu yg menganggu pengguna pin tolong lah jink thanks,kok goblog bgt sih sistem kalian gak bisa memfilter orang yg mengupload media berbau sexual bahkan hal yg menjijikkan lainnya banyak perempuanperempuan yang menjadi korban porn revenge deepfake dan pelecehan lainnya fotonya dan video mereka di upload oleh orang yang tidak bertanggung jawab di pin dan sampai saat ini masih banyak beredar konten vulgar seperti itu yg menganggu pengguna pin tolong lah jink thanks,kok goblog banget sih sistem kalian tidak bisa memfilter orang yang mengupload media berbau sexual bahkan hal yang menjijikkan lainnya banyak perempuanperempuan yang menjadi korban porn revenge deepfake dan pelecehan lainnya fotonya dan video mereka di upload oleh orang yang tidak bertanggung jawab di pin dan sampai saat ini masih banyak beredar konten vulgar seperti itu yang menganggu pengguna pin tolong lah jink thanks,"['kok', 'goblog', 'banget', 'sih', 'sistem', 'kalian', 'tidak', 'bisa', 'memfilter', 'orang', 'yang', 'mengupload', 'media', 'berbau', 'sexual', 'bahkan', 'hal', 'yang', 'menjijikkan', 'lainnya', 'banyak', 'perempuanperempuan', 'yang', 'menjadi', 'korban', 'porn', 'revenge', 'deepfake', 'dan', 'pelecehan', 'lainnya', 'fotonya', 'dan', 'video', 'mereka', 'di', 'upload', 'oleh', 'orang', 'yang', 'tidak', 'bertanggung', 'jawab', 'di', 'pin', 'dan', 'sampai', 'saat', 'ini', 'masih', 'banyak', 'beredar', 'konten', 'vulgar', 'seperti', 'itu', 'yang', 'menganggu', 'pengguna', 'pin', 'tolong', 'lah', 'jink', 'thanks']","['goblog', 'banget', 'sih', 'sistem', 'memfilter', 'orang', 'mengupload', 'media', 'berbau', 'sexual', 'menjijikkan', 'perempuanperempuan', 'korban', 'porn', 'revenge', 'deepfake', 'pelecehan', 'fotonya', 'video', 'upload', 'orang', 'bertanggung', 'pin', 'beredar', 'konten', 'vulgar', 'menganggu', 'pengguna', 'pin', 'tolong', 'jink', 'thanks']",goblog banget sih sistem filter orang mengupload media bau sexual jijik perempuanperempuan korban porn revenge deepfake leceh foto video upload orang tanggung pin edar konten vulgar menganggu guna pin tolong jink thanks
Heri Susanto,pinterest skrg aplikasi y jadi burik lemot bug sinyal muter terus,1,2025-04-30 13:47:21,pinterest skrg aplikasi y jadi burik lemot bug sinyal muter terus,pinterest skrg aplikasi y jadi burik lemot bug sinyal muter terus,pinterest sekarang aplikasi ya jadi burik lemot bug sinyal muter terus,"['pinterest', 'sekarang', 'aplikasi', 'ya', 'jadi', 'burik', 'lemot', 'bug', 'sinyal', 'muter', 'terus']","['pinterest', 'aplikasi', 'ya', 'burik', 'lemot', 'bug', 'sinyal', 'muter']",pinterest aplikasi ya burik lot bug sinyal muter
Syamsul Arifin,😍😍😍,5,2025-04-30 13:36:31,,,,[],[],
husna haq,bagus,5,2025-04-30 13:23:14,bagus,bagus,bagus,['bagus'],['bagus'],bagus
