at,userName,score,content,cleaning,case_folding,normalisasi,stemming_data,sentiment
2025-04-30 23:01:57,Irwan Drmwn,5,bagus banget foto serba ada,bagus banget foto serba ada,bagus banget foto serba ada,bagus banget foto serba ada,bagus banget foto serba,Positif
2025-04-30 22:32:38,Dedy Kennedy,4,good everytime,good everytime,good everytime,good everytime,good everytime,Positif
2025-04-30 16:15:53,Rohmatun Danuri,5,foto photo,foto photo,foto photo,foto photo,foto photo,Positif
2025-04-30 15:57:09,Asnita (Ita),5,luar biasa bagus,luar biasa bagus,luar biasa bagus,luar biasa bagus,bagus,Positif
2025-04-30 15:55:08,Ica 2345,5,bagus banget tapi gini di HP ku kenapa setiap aku mau ambil video selalu gak bisa tolong di perbaiki ya terima kasih tapi saya akan kasih bintang 5 buat pin karena aku bener bener bagus dan juga banyak banget buat cari cari video bagus gitu mulai diy dan masak dan sebagai nya ok segitu dulu terimakasih 😁,bagus banget tapi gini di HP ku kenapa setiap aku mau ambil video selalu gak bisa tolong di perbaiki ya terima kasih tapi saya akan kasih bintang  buat pin karena aku bener bener bagus dan juga banyak banget buat cari cari video bagus gitu mulai diy dan masak dan sebagai nya ok segitu dulu terimakasih ,bagus banget tapi gini di hp ku kenapa setiap aku mau ambil video selalu gak bisa tolong di perbaiki ya terima kasih tapi saya akan kasih bintang  buat pin karena aku bener bener bagus dan juga banyak banget buat cari cari video bagus gitu mulai diy dan masak dan sebagai nya ok segitu dulu terimakasih ,bagus banget tapi begini di hp ku kenapa setiap aku mau ambil video selalu tidak bisa tolong di perbaiki ya terima kasih tapi saya akan kasih bintang buat pin karena aku benar benar bagus dan juga banyak banget buat cari cari video bagus begitu mulai diy dan masak dan sebagai ya ok segitu dulu terimakasih,bagus banget hp ku ambil video tolong baik ya terima kasih kasih bintang pin bagus banget cari cari video bagus diy masak ya ok segitu terimakasih,Positif
2025-04-30 15:53:43,Rivano,4,Karena dapat membantu pada saat saya sedang membutuhkannya,Karena dapat membantu pada saat saya sedang membutuhkannya,karena dapat membantu pada saat saya sedang membutuhkannya,karena dapat membantu pada saat saya sedang membutuhkannya,bantu butuh,Positif
2025-04-30 15:38:28,hesaputra Hesaputra,5,sources of my inspiration in my business activities,sources of my inspiration in my business activities,sources of my inspiration in my business activities,sources of my inspiration ini my business activities,sources of my inspiration my business activities,Positif
2025-04-30 14:55:04,Rosid Intan,1,"sebenarnya klo boleh jujur aplikasi udh pas tapi masalah nya kenpa pas saya masukin tanggal lahir gk bisa, tolong developer nya kasih otak dong ini gimana tolong di perbaiki lagi ✌️🥺✌️",sebenarnya klo boleh jujur aplikasi udh pas tapi masalah nya kenpa pas saya masukin tanggal lahir gk bisa tolong developer nya kasih otak dong ini gimana tolong di perbaiki lagi ,sebenarnya klo boleh jujur aplikasi udh pas tapi masalah nya kenpa pas saya masukin tanggal lahir gk bisa tolong developer nya kasih otak dong ini gimana tolong di perbaiki lagi ,sebenarnya kalau boleh jujur aplikasi sudah pas tapi masalah ya kenpa pas saya memasuki tanggal lahir tidak bisa tolong developer ya kasih otak dong ini bagaimana tolong di perbaiki lagi,jujur aplikasi pas ya kenpa pas pasuk tanggal lahir tolong developer ya kasih otak tolong baik,Negatif
2025-04-30 13:48:44,Slash,1,"kok goblog bgt sih sistem kalian gak bisa memfilter orang yg meng-upload media berbau sexual bahkan hal yg menjijikkan lainnya. banyak perempuan-perempuan yang menjadi korban porn revenge, deepfake dan pelecehan lainnya fotonya dan video mereka di upload oleh orang yang tidak bertanggung jawab di pin. dan sampai saat ini masih banyak beredar konten vulgar seperti itu yg menganggu pengguna pin. tolong lah jink, thanks.",kok goblog bgt sih sistem kalian gak bisa memfilter orang yg mengupload media berbau sexual bahkan hal yg menjijikkan lainnya banyak perempuanperempuan yang menjadi korban porn revenge deepfake dan pelecehan lainnya fotonya dan video mereka di upload oleh orang yang tidak bertanggung jawab di pin dan sampai saat ini masih banyak beredar konten vulgar seperti itu yg menganggu pengguna pin tolong lah jink thanks,kok goblog bgt sih sistem kalian gak bisa memfilter orang yg mengupload media berbau sexual bahkan hal yg menjijikkan lainnya banyak perempuanperempuan yang menjadi korban porn revenge deepfake dan pelecehan lainnya fotonya dan video mereka di upload oleh orang yang tidak bertanggung jawab di pin dan sampai saat ini masih banyak beredar konten vulgar seperti itu yg menganggu pengguna pin tolong lah jink thanks,kok goblog banget sih sistem kalian tidak bisa memfilter orang yang mengupload media berbau sexual bahkan hal yang menjijikkan lainnya banyak perempuanperempuan yang menjadi korban porn revenge deepfake dan pelecehan lainnya fotonya dan video mereka di upload oleh orang yang tidak bertanggung jawab di pin dan sampai saat ini masih banyak beredar konten vulgar seperti itu yang menganggu pengguna pin tolong lah jink thanks,goblog banget sih sistem filter orang mengupload media bau sexual jijik perempuanperempuan korban porn revenge deepfake leceh foto video upload orang tanggung pin edar konten vulgar menganggu guna pin tolong jink thanks,Negatif
2025-04-30 13:47:21,Heri Susanto,1,pinterest skrg aplikasi y jadi burik lemot bug sinyal muter terus,pinterest skrg aplikasi y jadi burik lemot bug sinyal muter terus,pinterest skrg aplikasi y jadi burik lemot bug sinyal muter terus,pinterest sekarang aplikasi ya jadi burik lemot bug sinyal muter terus,pinterest aplikasi ya burik lot bug sinyal muter,Negatif
