text,sentiment
bagus banget,Positif
pin ya bagus situ lengkap foto idola sayang foto couple ya bagus satu cari,Positif
apk bagus banget tau bikin suka yups main game dress up coyy oke kasih tau tinggal cari picrew pin pilih klik kunjung situs tunggu dann walah main gamee,Positif
bagus tambah inspirasi,Positif
bagus apknya,Positif
aplikasi serba good job,Positif
login pencet log google kali mulu akun please pas kayak mohon baik,Positif
login,Negatif
bagus saran,Positif
aplikasi ajg akun gue banned alas pemberitahuan kagak upload aneh aneh komen aneh save gambar download doang kena ban tlol nih aplikasi,Negatif
eror unduh gambar salah layar putih ah capek,Negatif
cari muncul aaaa suka banget pinterest cari tutorial masak loh cari wallpaper pkonya gambar imut imut suka deh,Positif
apk ya bagus suka aga aga lag,Positif
bagus,Positif
aplikasi bagus,Positif
login tanggal lahir jelek banget apk jlkk download jlkkkk kasih apk lol banget,Negatif
gambar ya unduh,Negatif
bagustpi pas donlowd pakai tanggal lahir uinstal donlowd,Positif
cari foto muncul foto sambung cari,Negatif
mohon maaf jawabbanyak orang bilang tambah fitur dowload vidiosebenernnya pinterest kreasi bahan dowload,Positif
ya isi pasword dll kls sd,Positif
bagus,Positif
seru,Positif
pinterest bagus caricari foto,Positif
gbisa login,Negatif
download sih foto ya aneh banget,Negatif
suka banget,Positif
bagus banget cari foto foto pinterest,Positif
bagus banget pilih daftar susah banget,Positif
aplikasi download hapussesudah notifikasi emaillagi tulis ide itukurasa email bajak orang tanggung,Negatif
temu solusi geser scroll pin foto video,Negatif
aplikasi ya bagus cari pilih bagus,Positif
masuk tanggal lahir ya,Negatif
daftar,Negatif
manfaat banget,Positif
bintang bikin akun ya tuh usia coba usia tolong baik ya,Negatif
unduh gambar wallpaper,Negatif
cocok bikin stres,Positif
aplikasi manfaat cari objek gambar tarik,Positif
pinterest aplikasi guna ajar meng save video ku pinterest khusus foto and video jadi segitu sih,Positif
bagus cerita roblox,Positif
mudah buka sip,Positif
ide gambar,Positif
bguusss bgtttttsemua poto,Positif
menginpirasi,Negatif
dapa tasya,Negatif
omg bangus banget uhuy,Positif
tau,Negatif
bagus,Positif
